Sample ID,Source,Country,Lat,Long,Date,Note,Basin,Type,Class,Geothermal Field,Unit (milligram),Depth (m),Temperature,Density,pH,Alkalinity,(H)CO3,F_mg,Cl_mg,Br_mg,I_mg,SO4_mg,NO3_mg,PO4_mg,B_mg,Si_mg,As_mg,NH4_mg,Na_mg,K_mg,Li_mg,Ca_mg,Mg_mg,Al_mg,Fe_mg,Mn_mg,Zn_mg,Sr_mg,Ba_mg,Rb_mg,Cs_mg,TDS,d18O,d2H,d11B,d13C,87Sr/86Sr,d7Li,d18O (SO4),d34S (SO4),,Unit (mol),Alkalinity,Cl,Br,SO4,B,Si,Na,K,Li,Ca,Mg,NH4,% error,Na/Cl,Mg/Li
SDUS-11,"Williams et al., 2026",Bolivia,-20.44305,-68.10674,9/1/2024,HCO3- calculated from a direct DIC measurment and assuming it is all HCO3-,Salar de Uyuni,Brine,Terminal,,mg/L,0.2,12.74,1.2138,6.9,,50,,189144.9,19.5,,7960,,,164.07,,0.595185404,,112600,5988,257,886,5364,,,,,23.23115854,,5.3,0.209224595,322465,-5.6,-49.5,-10.5,-0.9,0.708273,12.1,,,,mmol/L,,5335.539816,0.243971436,82.86638499,15.17605062,,4897.9807,153.1592666,37.02405505,22.09524832,220.708021,,0.7,0.92,20.9
SDUS-12,"Williams et al., 2026",Bolivia,-20.30513,-68.08058,9/1/2024,HCO3- calculated from a direct DIC measurment and assuming it is all HCO3-,Salar de Uyuni,Brine,Terminal,,mg/L,0.1,12.34,1.2036,6.68,,58,,188520.6,36.6,,10349,,,280.98,,0.899746468,,104428,8790,409,622,8441,,,,,18.51105211,,8.3,0.295137493,321966,-3.4,-40,-9.8,-3.1,0.708278,12,,,,mmol/L,,5317.928859,0.457771417,107.7330058,25.98987607,,4542.524673,224.8207847,58.94414136,15.52767255,347.3142379,,0.2,0.85,20.6
SDUS-13,"Williams et al., 2026",Bolivia,-20.17539,-68.05797,9/1/2024,HCO3- calculated from a direct DIC measurment and assuming it is all HCO3-,Salar de Uyuni,Brine,Terminal,,mg/L,0.2,11.43,1.2086,6.79,,79,,189537.5,34.4,,10581,,,275.71,,0.787885679,,105554,8834,389,635,8189,,,,,15.68075363,,7.8,0.226437633,324136,-2.7,-34.7,-8.4,-3.6,0.708312,12.1,,,,mmol/L,,5346.614932,0.43012424,110.1483252,25.50261488,,4591.515177,225.9560842,56.0155916,15.85490722,336.9444409,,0.1,0.86,21.1
SDC-1,This Work,Bolivia,-19.53536,-68.05669,9/1/2024,HCO3- calculated from a direct DIC measurment and assuming it is all HCO3-,Salar de Coipasa,Brine,Terminal,,mg/L,0.02,19.76,1.2292,6.65,,161,,188288.9,176.1,,30713,,,2124.95,,17.69461938,,83784,17544,533,402,22581,,,,,17.74907612,,18.5,0.508643658,346369,7.7,1.7,1.2,10.2,0.709103,,,,,mmol/L,,5311.392743,2.203564287,319.730583,196.5545826,,3644.517065,448.7171041,76.83435934,10.02200872,929.0834396,,0.8,0.69,42.3
BCW-1,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.07535,-66.98264,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,15.88,,7.71,1.8,107,0.295772947,162.7,0,,367,,,1.03,,0.006023613,,150,3,0,115,29,0.090089477,0.097477019,0.000258155,,2.72310329,0.013495368,0.0017,8.60516E-05,938,-15.2,-120.1,,,0.711686,,,,,mmol/L,1.751491244,4.590946799,,3.820323588,0.094847936,,6.511975818,0.082955407,0.013955431,2.868157413,1.199478988,,2.6,1.42,301
BCW-2,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.06727,-66.99468,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,17.48,,7.81,6.2,377,,1276.4,0,,1193,,,3.13,,0.03179523,,992,18,1,365,71,,0.346314907,0.03719442,,10.6064088,0.054958437,0.0102,#VALUE!,4308,-13.4,-114.1,,,0.712084,,,,,mmol/L,6.169121361,36.00498403,,12.42312501,0.289886535,,43.12973222,0.459912612,0.20114161,9.114107106,2.932729401,,0.6,1.2,51.1
BCW-3,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.06816,-66.99404,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.83,,5.81,9,547,,1641.1,0,,1159,,,3.66,,0.00216756,,1437,18,2,293,66,,1.93508464,0.1300536,,9.6022908,0.0189658,0.0296,0.00024084,5177,-14.1,-115.6,,,0.711686,,,,,mmol/L,8.962203628,46.29242505,,12.06831008,0.338197059,,62.49059502,0.468757293,0.283744187,7.317026988,2.729401506,,2.4,1.35,33.7
BCW-4,This Work,Bolivia,-20.3329,-66.91743,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,1,7.65,,6.75,4.2,257,0.355422395,223.6,0.4,,101,,,6.98,,0.029102075,,191,34,0,49,18,,0.033268188,0.004588537,,0.746154046,0.045048375,0.0286,0.001488174,882,-14.9,-118.2,,,0.709874,,,,,mmol/L,4.210098142,6.308371527,0.004448118,1.051541167,0.645990806,,8.290227895,0.868196638,0.033247451,1.230855281,0.72047118,,1.8,1.31,75.9
BCW-5,This Work,Bolivia,-20.26737,-66.86389,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,1,9.49,,7.08,2.2,136,0.175226779,69.4,0.2,,40,,,3.81,,0.025165785,,71,18,0,28,6,,0.030657176,0.032246387,,0.284619277,0.105233571,0.0423,8.71995E-05,371,-15.7,-115.1,,,0.709869,,,,,mmol/L,2.223393074,1.956575456,0.002558461,0.412559405,0.352766096,,3.070501716,0.4484998,0.01508092,0.69864457,0.240197884,,3.9,1.57,55.8
BCW-6,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.27933,-66.91827,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,10.66,,7.59,0.2,15,0.04,2.5,0,,4,,,0.18,,0.00198,,4,2,0,2,1,0.004326,0.001038,0.00006,0.002238,0.035352,0.009156,0.0092,0.000966,30,-15.8,-106.2,,,0.709692,,,,,mmol/L,0.238489783,0.069675599,,0.036643764,0.016771806,,0.153121058,0.054435009,0.000723527,0.060619292,0.025895906,,0,2.2,125.3
BCW-7,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.11989,-67.19102,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,11.72,,8.27,1.5,95,,110.1,0.1,,22,,,3.11,,0.01909923,,32,14,0,51,12,,0.040649581,0.000704769,,0.600462865,0.409805491,0.027,0.002008591,340,-14.4,-105.1,,,0.707196,,,,,mmol/L,1.548873207,3.105450629,0.001487858,0.226175045,0.287453644,,1.391712502,0.360070258,0.001462179,1.280103285,0.490593254,,1.8,0.45,1174.9
BCW-8,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.13958,-67.23587,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,13.34,,7.3,4.1,249,0.142606242,73.6,0,,61,,,1.45,,0.026766092,,41,5,0,80,20,,0.077387077,0.000256954,,2.20552596,0.045438191,0.0148,0.005674411,534,-13.7,-104.5,,,0.709039,,,,,mmol/L,4.078896002,2.075735431,,0.638729292,0.134581697,,1.777299116,0.123915499,0.009375287,1.998344461,0.831368827,,0.9,0.86,310.5
BCW-9,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.14051,-67.22894,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.78,,7.52,3.6,223,0.113987235,130.3,0,,195,,,1.39,,0.011829754,,60,7,0,100,47,,0.10249869,0.000274313,,2.86348632,0.018147519,0.0312,0.008949466,768,-14.7,-112.7,,,0.709091,,,,,mmol/L,3.647124664,3.67685199,,2.035062542,0.128386045,,2.631451112,0.185248301,0.013493844,2.499272828,1.954080128,,1.5,0.72,507.1
BCW-10,This Work,Bolivia,-19.89325,-67.59325,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,10,15.19,,6.54,1.5,92,,255.4,0.3,,120,,,5.86,,0.003694319,,152,29,1,32,35,0.025183775,0.051724893,0.00046179,,0.160587442,0.013812595,0.0335,0.001308405,723,-16.8,-118.9,,,0.706971,,,,,mmol/L,1.506940937,7.203138306,0.004089743,1.251900528,0.542283325,,6.596392407,0.734695955,0.102190472,0.809673843,1.455641828,,3.2,0.92,49.9
BCW-12,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.89016,-67.58732,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,17.67,,5.39,5.1,313,,1178.9,0.9,,225,,,7.94,,0.005316267,,692,88,3,109,99,,0.144218969,2.5757312,,0.61442752,0.014764036,0.0941,0.007044053,2719,-16.6,-122.4,,,0.706586,,,,,mmol/L,5.132280477,33.25587196,0.0111101,2.342728092,0.734360575,,30.12117679,2.256059372,0.411073781,2.713909964,4.090699326,,3.7,0.91,34.8
BCW-13,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.88765,-67.58458,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,16.06,,5.51,8.1,494,,2492.4,1.3,,286,,,10.16,,0.012555972,,1530,196,7,108,155,,0.195641182,6.543319921,,0.596764043,0.016051613,0.2198,0.01705717,5282,-16.6,-118.9,,,0.706872,,,,,mmol/L,8.09964374,70.30870073,0.015866213,2.978287578,0.940111068,,66.57180363,5.016262182,0.968560458,2.689713902,6.397779715,,3.6,0.95,23.1
BCW-14,This Work,Bolivia,-19.90254,-67.63325,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,4,17.13,,6.82,1.8,107,,173.2,0,,63,,,4.43,,0.020576571,,104,15,0,43,19,,0.171151976,0.004858357,,0.303790214,0.029916976,0.0189,0.0020005,529,-16.8,-118.9,,,0.706766,,,,,mmol/L,1.752310233,4.885293484,,0.658509166,0.40975173,,4.51128735,0.383681262,0.035300835,1.07183189,0.76341959,,3.9,0.92,75.7
BCW-15,This Work,Bolivia,-19.90532,-67.66426,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,1,14.58,,6.95,1.5,91,0.134908537,137.5,0.2,,139,,,6.27,,0.008823128,,55,8,0,80,25,,0.072549715,0.000300478,,0.427225131,0.0193397,0.0181,0.000273162,543,-16.6,-116.4,,,0.706939,,,,,mmol/L,1.488431771,3.87917541,0.002813971,1.449360918,0.579769501,,2.402287287,0.214329457,0.010070854,1.986220014,1.042347053,,2.4,0.62,362.4
BCW-16,This Work,Bolivia,-19.89982,-67.67856,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,4,11.95,,7.65,1.6,100,0.160363078,118.6,0.2,,117,,,5.74,,0.009191824,,71,8,0,55,17,0.022973292,0.04927549,0.00148865,0.000520071,0.3991,0.012418776,0.0175,0.00037807,493,-16.5,-117.1,,,0.706586,,,,,mmol/L,1.633884331,3.345232618,0.002508684,1.213657691,0.530602263,,3.093976605,0.208040407,0.005750337,1.379776963,0.689277037,,0.2,0.92,419.7
BCW-17,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.89486,-67.68769,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.24,,6.77,1.2,72,0.156198789,165.1,0.3,,62,,,5.65,,0.004834769,,47,10,0,63,22,0.972059831,0.215077352,0.002417384,,0.34351031,0.060856926,0.0266,,448,-16.9,-119.6,,,0.706348,,,,,mmol/L,1.174758739,4.656221996,0.003909661,0.650421772,0.522813682,,2.044831452,0.256420719,0.009977901,1.575215007,0.912526297,,1,0.44,320.2
BCW-18,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.88452,-67.69798,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.72,,6.67,3,183,0.115827448,197.3,0.3,,103,,,5.45,,0.004705624,,67,9,0,100,35,0.017513225,0.094974203,0.000899605,,0.803762029,0.061734442,0.0107,6.92003E-05,702,-16,-112.5,,,0.706353,,,,,mmol/L,3.000122848,5.565925462,0.004348748,1.071337576,0.504547591,,2.932925362,0.234536244,0.006607217,2.485313572,1.450495408,,1.5,0.53,768.7
BCW-19,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.85943,-67.72787,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.03,,7.51,3.7,228,0.161584501,75.1,0.1,,17,,,6.82,,0.003720518,,72,10,0,107,38,,0.040513384,0.101379408,,0.242683567,0.031192455,0.0016,,555,-15.4,-115.4,,,0.706179,,,,,mmol/L,3.735575545,2.118602998,0.001617786,0.172921994,0.631290672,,3.140108828,0.259171845,0.003907934,2.682046808,1.548583228,,31.3,1.48,1387.6
BCW-20,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.84785,-67.74227,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,16.04,,7.12,0.7,40,0.069649521,71.1,0.1,,15,,,3.07,,0.001891213,,33,5,0,23,5,,0.012211916,4.17948E-05,,0.025505255,0.00187976,0.0068,2.08974E-05,196,-16,-116.9,,,0.706582,,,,,mmol/L,0.662398821,2.005493621,0.001089581,0.158426196,0.283685146,,1.42174309,0.119796296,0.003133866,0.582930572,0.196215156,,1.9,0.71,219.2
BCW-22,This Work,Bolivia,-19.62593,-68.10138,9/1/2024,,Salar de Coipasa,Underground,Inflow,,mg/L,20,13.79,,7.51,1.6,97,0.088086906,223.2,0.1,,29,,,1.38,,0.002668941,,170,14,0,8,4,,,0.000287827,0.007161661,0.06868597,0.004949448,0.017,5.23322E-05,548,-15.2,-119.6,,,0.707931,,,,,mmol/L,1.594409031,6.2952941,0.001653614,0.303068107,0.127741379,,7.400820654,0.348590949,0.041106915,0.201205172,0.171747032,,0.2,1.18,14.6
BCW-23,This Work,Bolivia,-19.60243,-68.0998,9/1/2024,,Salar de Coipasa,Underground,Inflow,,mg/L,0,12.6,,8.88,2.6,157,0.2001953,217.8,0.1,,37,,,3.3,,0.04287083,,155,16,0,27,13,,0.037679627,0.011770823,0.002567182,0.263579783,0.037707258,0.0165,0.000216641,626,-15.6,-116,,,0.708379,,,,,mmol/L,2.56360137,6.14421681,0.001503269,0.380133486,0.305175966,,6.720984253,0.416948763,0.023641099,0.666684075,0.540688611,,0.6,1.09,80.1
BCW-24,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-19.754722,-68.272778,9/1/2024,,Salar de Coipasa,Spring,Inflow,,mg/L,0,18.28,,8.57,4.7,288,0.365971049,792.4,1.1,,231,,,5.11,,0.007935708,,616,34,1,27,17,,0.033142652,0.002620281,,0.249750202,0.019365303,0.0693,0.016395472,2014,-13.6,-120.3,,,0.706956,,,,,mmol/L,4.710828408,22.35400035,0.013740403,2.407804531,0.472357316,,26.78239177,0.879181759,0.184108756,0.6738257,0.695850659,,-2.1,1.2,13.2
BCW-25,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.73655,-67.66702,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,16.39,,7.89,2.4,147,0.227868486,199.6,0.3,,155,,,3.87,,0.044603353,,90,18,0,72,40,0.001315137,0.07754207,0.280111203,,0.851859715,0.06425306,0.0376,0.002466051,727,-16.8,-107.9,,,0.706893,,,,,mmol/L,2.401441422,5.629540758,0.003992489,1.616855714,0.357673971,,3.915876733,0.449050028,0.021638278,1.807848926,1.657720787,,0.2,0.7,268.3
BCW-26,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.71825,-67.68973,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,10.77,,6.75,2.6,159,0.163303675,179.7,0.3,,105,,,2.66,,0.088666144,,50,12,0,75,46,,0.162601424,0.008007295,0.005874676,1.019465361,0.070245206,0.0482,0.038547313,632,-15.5,-113.4,,,0.70687,,,,,mmol/L,2.608482003,5.069554127,0.004087497,1.093961218,0.24582233,,2.181818521,0.298420469,0.012703423,1.881325229,1.890744804,,0.8,0.43,521.2
BCW-27,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.71571,-67.69188,9/1/2024,,Salar de Uyuni,Lake,Inflow,,mg/L,0,11.76,,8.85,3.9,239,0.471341654,450.4,0.9,,365,,,11.83,,0.04788835,,226,45,0,131,89,,0.140604669,0.136783232,,1.868328137,0.053296639,0.0458,0.001308114,1561,-5,-61.4,,,0.706829,,,,,mmol/L,3.917882639,12.70561592,0.011797699,3.797818446,1.094436134,,9.850100056,1.143861009,0.024862084,3.272636799,3.650594817,,1.3,0.78,514.2
BCW-28,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.68481,-67.71118,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,13.23,,7.36,1.1,69,0.104336981,59.6,0.1,,70,,,2.08,,0.017113751,,27,11,0,35,14,,0.019928488,8.338E-05,,0.354365118,0.056593443,0.0424,0.023346408,288,-16.2,-117.8,,,0.706402,,,,,mmol/L,1.136102428,1.680085373,0.001088149,0.726463154,0.192834349,,1.184383518,0.2717523,0.003228192,0.861706469,0.566233465,,0.5,0.7,614.2
BCW-29,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.62605,-67.69158,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,16.98,,7.24,1.2,70,0.042182895,32.7,0.1,,36,,,2.1,,0.001254,,20,8,0,20,9,,0.019194,0.003132,0.001692,0.18624,0.025134,0.0217,0.000726,198,-16.2,-115.7,,,0.706406,,,,,mmol/L,1.154611594,0.923382977,0.0006599,0.371175224,0.194524096,,0.877054243,0.191843573,0.001266388,0.500419183,0.386175684,,0.4,0.95,1067.8
BCW-30,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.59079,-67.68122,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,17.83,,7.37,1,60,0.137665002,48.7,0.1,,68,,,2.06,,0.002372614,,23,9,0,29,14,0.026835684,0.011167641,0.000136882,,0.256424828,0.033045876,0.0355,0.001095053,254,-16.4,-119.3,,,0.706427,,,,,mmol/L,0.976071853,1.374276855,0.001148587,0.706684801,0.19045773,,0.995536277,0.241298184,0.001829536,0.73563131,0.563712823,,1,0.72,1078.9
BCW-31,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.57885,-67.64048,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,21.87,,6.94,2,123,0.100270259,94.5,0.2,,75,,,3.94,,0.004747209,,51,17,0,37,22,0.006133214,0.031595913,0.017636689,,0.405055961,0.04543119,0.0748,0.0021311,425,-14.6,-110,,,0.706698,,,,,mmol/L,2.015533504,2.666566621,0.002509768,0.783654976,0.364870475,,2.201152407,0.44609086,0.011051569,0.925952241,0.908391233,,0.6,0.83,287.8
BCW-32,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.58238,-67.61629,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,21.37,,9.26,1.6,96,0.139641266,72.1,0.1,,116,,,2.21,,0.00452032,,46,15,0,38,21,0.020189673,0.014753998,0.005636449,,0.40766591,0.030086651,0.0522,0.00121379,407,-15.5,-114.2,,,0.706632,,,,,mmol/L,1.569675544,2.034547642,0.001747613,1.207530137,0.204151451,,1.983357823,0.382355387,0.006763749,0.94585622,0.875866534,,0,0.97,453.4
BCW-33,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.58779,-67.6106,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,16.68,,9.48,1.7,102,0.226082243,81.5,0.1,,117,,,2.71,,0.030162448,,51,10,0,41,23,,0.020105451,0.0012574,,0.482811263,0.022632202,0.0309,0.002529949,428,-14.7,-112.4,,,0.706476,,,,,mmol/L,1.664186948,2.298733102,0.001257521,1.214694541,0.250816715,,2.230204572,0.25483008,0.009114232,1.018275473,0.928703952,,0,0.97,356.8
BCW-34,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.65739,-67.6278,9/1/2024,,Salar de Uyuni,Stream,Inflow,,mg/L,0,7.38,,3.47,0,,1.67336189,75,0.1,,680,,,1.84,,0.000642313,,102,13,0,135,37,15.14473848,0.508475378,4.144807967,2.528545248,0.981983218,0.014810227,0.0527,0.011183803,1047,-14.4,-106.5,,,0.706419,,,,,mmol/L,0,2.116892663,0.001610935,7.076526015,0.170605157,,4.457171687,0.340936379,0.023961932,3.371802582,1.516261956,,-5.4,2.11,221.6
BCW-35,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.88895,-67.76282,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,13.31,,7.24,1.5,89,0.087079633,34.4,0.1,,22,,,1.83,,0.002079052,,24,6,0,21,10,,0.00548698,0.000103953,0.072286186,0.222718448,0.017670877,0.0227,0.000303195,208,-16,-116,,,0.706572,,,,,mmol/L,1.465827657,0.970690223,0.000726535,0.230103202,0.168946332,,1.025557736,0.150060163,0.000453983,0.523550918,0.400693177,,2.1,1.06,3090.6
BCW-36,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.89794,-67.76352,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,5,12.9,,7.02,2.2,133,0.256983684,127.8,0.1,,58,,,2.29,,0.01887544,,83,18,0,37,15,,0.006434785,0.005694393,0.017381314,0.300373585,0.027785491,0.0268,0.000453737,475,-15.8,-112.6,,,0.707498,7.6,,,,mmol/L,2.179659027,3.605952803,0.001837803,0.608426319,0.212084692,,3.591333466,0.469546045,0.011143976,0.91290944,0.623352337,,1,1,195.9
BCW-37,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.90878,-67.75777,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,10.83,,7.83,0.9,55,0.137859655,52.7,0.1,,48,,,2.04,,0.025109113,,31,4,0,35,6,,0.013503393,0.000139689,0.011102313,0.225248646,0.045817133,0.005,0.000116408,234,-13.8,-104.6,,,0.706961,,,,,mmol/L,0.901379998,1.486095413,0.000985895,0.497993964,0.188766499,,1.340769164,0.102478928,0.003248289,0.872264032,0.245676497,,4.2,0.9,264.8
BCW-39,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-20.94099,-67.54607,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.46,,8.19,5.9,360,1.346881077,3295.8,0,,442,,,10.13,,0.118259699,,1967,122,6,167,112,,,0.206082586,,9.533697467,0.030325446,0.1256,0.044704069,6492,-6.6,-81.6,,,0.707878,,,,,mmol/L,5.897708194,92.97088845,,4.598969324,0.936696363,,85.57774177,3.112895401,0.831670663,4.166946684,4.592379554,,-0.5,0.92,19.3
BCW-40,This Work,Bolivia,-20.91724,-67.30047,9/1/2024,,Salar de Uyuni,Underground,Inflow,,mg/L,12,14.7,,7.57,1.6,101,0.951935279,209.8,0.1,,60,,,3.58,,0.017528698,,88,5,0,60,20,,0.023551943,0.000677438,,0.499327956,0.048038118,0.0103,0.005221915,549,-14.9,-112.6,,,0.707503,8.4,,,,mmol/L,1.647643357,5.917036355,0.001787023,0.623326349,0.331208865,,3.825605145,0.135029341,0.015562033,1.499155837,0.826218512,,-1.1,0.65,185.9
BCW-41,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.39542,-66.70954,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,9.51,,6.56,1.7,102,0.165792994,19.9,0,,16,,,1.13,,0.018459768,,20,6,0,25,3,,0.170298589,0.046278988,0.007006704,0.206090883,0.084878757,0.0142,0.000777414,194,-12.4,-93.3,,,0.710202,,,,,mmol/L,1.666152523,0.561936979,0.000478824,0.166486022,0.104382304,,0.879161944,0.15508193,0.005550643,0.622303845,0.135404465,,-0.1,1.56,85.4
BCW-42,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.45474,-66.76343,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,14.36,,7.17,1.7,106,,13.3,0,,11,,,0.78,,0.010798891,,11,10,0,27,3,,0.014497847,0.000179384,0.002264728,0.232481112,0.1211002,0.0344,0.008868724,183,-12.4,-92.7,,,0.709909,,,,,mmol/L,1.73674943,0.375438255,0.000302847,0.114116303,0.072589681,,0.498937489,0.251413011,0.003079102,0.67790918,0.134258844,,0.8,1.33,152.7
BCW-43,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.46384,-66.72416,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,15.24,,6.85,1.6,96,0.195443503,23.3,0.1,,40,,,0.59,,0.037158032,,23,6,0,30,2,,1.236499131,0.269965927,0.004352984,0.16888401,0.041547432,0.0144,0.003718466,222,-12.5,-97.6,,,0.708594,,,,,mmol/L,1.577374046,0.656920877,0.000752609,0.414901525,0.054901491,,1.005429668,0.146574224,0.004243864,0.751258412,0.096154057,,-3.6,1.53,79.3
BCW-44,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.49417,-66.67837,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,13.06,,7.87,1.2,72,0.099260707,26.7,0.1,,17,,,0.99,,0.009983334,,15,8,0,25,3,0.01851496,0.035828455,0.007378986,,0.200034523,0.066402972,0.0349,0.049504682,169,-12.5,-95.4,,,0.710617,,,,,mmol/L,1.183931423,0.75285536,0.000776406,0.174760223,0.09198096,,0.670027493,0.202852248,0.003399011,0.62093214,0.142599955,,2.5,0.89,146.9
BCW-45,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.84458,-66.5851,9/1/2024,,Salar de Uyuni,Spring,Inflow,,mg/L,0,4.56,,7.98,1.6,99,0.724711402,2.6,0,,352,,,0.14,,0.042550487,,6,4,0,135,22,,0.11904896,0.006408519,,0.834923587,0.012692177,0.0267,0.061153353,623,-16.6,-88.4,,,0.71185,,,,,mmol/L,1.622254678,0.073355008,,3.6656723,0.012563677,,0.244429304,0.101077085,0.005212167,3.364960265,0.92412264,,-0.5,3.33,620.8
BCW-46,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.84152,-66.58566,9/1/2024,,Salar de Uyuni,Stream,Inflow,,mg/L,0,3.13,,8.28,2.2,133,0.180203053,10.4,0,,358,,,0.13,,0.014044342,,10,2,0,128,34,,0.10038607,0.049853307,0.004655095,1.62016402,0.018287377,0.0072,0.039039437,677,-12.2,-82.1,,,0.711362,,,,,mmol/L,2.181952198,0.293560686,,3.723746209,0.011974941,,0.423644982,0.055760602,0.003991448,3.190506246,1.413076995,,-1.2,1.44,1239.7
BCW-47,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.84309,-66.51469,9/1/2024,,Salar de Uyuni,Stream,Inflow,,mg/L,0,7.85,,4.21,0,,2.66204786,8.6,0,,1191,,,0.84,,0.001892084,,35,4,0,141,47,129.7500899,0.977254894,3.243572395,2.666629364,1.384464817,0.034824244,0.0133,0.043571989,1432,-11.2,-88.4,,,0.710207,,,,,mmol/L,0,0.243404989,,12.39984104,0.077991623,,1.518837687,0.104513391,0.021530092,3.514441113,1.929678983,,-33.3,6.24,313.8
BCW-48,"Williams et al., 2026; Wudke et al., in-prep",Bolivia,-21.84302,-66.51433,9/1/2024,,Salar de Uyuni,Stream,Inflow,,mg/L,0,7.54,,7.63,1.1,68,0.323969128,6.5,0,,150,,,0.23,,0.006775953,,13,2,0,57,10,0.024874899,0.044566197,0.062781811,0.047998761,0.566313303,0.036186293,0.0051,0.001707019,308,-11.6,-81.6,,,0.710333,,,,,mmol/L,1.111368941,0.184603001,,1.561725006,0.021082294,,0.58008916,0.055652708,0.004092649,1.422907945,0.399687151,,-1.5,3.14,342
